13495	plpgsql_call_handler	f	2280	f	0	0	0	f	v					pg_catalog
13496	plpgsql_inline_handler	f	2278	f	0	1	0	t	v	2281				pg_catalog
13497	plpgsql_validator	f	2278	f	0	1	0	t	v	26				pg_catalog
16386	uuid_nil	f	2950	f	0	0	0	t	i					public
16387	uuid_ns_dns	f	2950	f	0	0	0	t	i					public
16388	uuid_ns_url	f	2950	f	0	0	0	t	i					public
16389	uuid_ns_oid	f	2950	f	0	0	0	t	i					public
16390	uuid_ns_x500	f	2950	f	0	0	0	t	i					public
16391	uuid_generate_v1	f	2950	f	0	0	0	t	v					public
16392	uuid_generate_v1mc	f	2950	f	0	0	0	t	v					public
16393	uuid_generate_v3	f	2950	f	0	2	0	t	i	2950 25			namespace,name	public
16394	uuid_generate_v4	f	2950	f	0	0	0	t	v					public
16395	uuid_generate_v5	f	2950	f	0	2	0	t	i	2950 25			namespace,name	public
